id,persona_id,tipo_autor_id,proyecto_ley_id,created_at,updated_at,activo,usercreated,usermodifed
28770,179,114,6710,27-04-12 15:10,27-04-12 15:10,1,NA,NA
28771,51,114,6711,30-04-12 20:34,30-04-12 20:39,1,NA,NA
28773,180,114,6711,30-04-12 20:40,30-04-12 20:40,1,NA,NA
28819,180,114,6726,18-05-12 14:54,18-05-12 14:54,1,NA,NA
28831,1,114,12,08-06-12 16:15,08-06-12 16:15,1,NA,NA
28832,15,114,12,08-06-12 16:15,08-06-12 16:15,1,NA,NA
28949,51,114,6758,02-08-12 21:29,02-08-12 21:29,1,NA,NA
28950,171,114,6758,02-08-12 21:29,02-08-12 21:29,1,NA,NA
28953,51,114,6762,02-08-12 21:37,02-08-12 21:37,1,NA,NA
28956,51,114,6765,02-08-12 21:42,02-08-12 21:42,1,NA,NA
28957,52,114,6765,02-08-12 21:42,02-08-12 21:42,1,NA,NA
28971,176,114,6774,02-08-12 22:52,02-08-12 22:52,1,NA,NA
28972,181,114,6774,02-08-12 22:55,02-08-12 22:55,1,NA,NA
29104,52,114,6740,03-08-12 4:29,03-08-12 4:29,1,NA,NA
29105,51,114,6796,03-08-12 14:39,03-08-12 14:39,1,NA,NA
29106,180,114,6796,03-08-12 14:40,03-08-12 14:40,1,NA,NA
29109,51,114,6798,03-08-12 14:45,03-08-12 14:45,1,NA,NA
29110,52,114,6798,03-08-12 14:45,03-08-12 14:45,1,NA,NA
29112,51,114,6799,03-08-12 14:49,03-08-12 14:49,1,NA,NA
29114,52,114,6799,03-08-12 14:49,03-08-12 14:49,1,NA,NA
29117,51,114,6801,03-08-12 14:57,03-08-12 14:57,1,NA,NA
29118,180,114,6801,03-08-12 14:57,03-08-12 14:57,1,NA,NA
29140,178,114,6813,03-08-12 15:55,03-08-12 15:55,1,NA,NA
29283,52,114,6855,13-08-12 17:02,13-08-12 17:02,1,NA,NA
29599,51,114,6945,03-09-12 14:31,03-09-12 14:31,1,NA,NA
29600,182,114,6945,03-09-12 14:34,03-09-12 14:34,1,NA,NA
29707,183,114,6974,19-09-12 16:32,19-09-12 16:32,1,NA,NA
29749,184,114,6983,25-09-12 15:47,25-09-12 15:47,1,NA,NA
29751,51,114,6985,25-09-12 16:06,25-09-12 16:06,1,NA,NA
29758,51,114,6990,27-09-12 14:29,27-09-12 14:29,1,NA,NA
29759,55,114,6990,27-09-12 14:29,27-09-12 14:29,1,NA,NA
29760,55,114,6991,27-09-12 14:44,27-09-12 14:44,1,NA,NA
29783,185,114,7000,04-10-12 23:54,04-10-12 23:54,1,NA,NA
29823,183,114,7010,10-10-12 17:47,10-10-12 17:47,1,NA,NA
29824,186,114,7010,10-10-12 17:49,10-10-12 17:49,1,NA,NA
29862,185,114,7013,11-10-12 20:48,11-10-12 20:48,1,NA,NA
