id|cuatrienio_id|comision_id|congresista_id|cargo_legislativo_id_comision|fecha_inicio|fecha_fin|activo|usercreated|usermodifed|created_at|updated_at
187|1|10|641|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|07-12-2010 19:53
188|1|10|1162|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|07-12-2010 19:53
189|1|10|187|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|07-12-2010 19:53
190|1|8|198|NA|16-02-2001|19-07-2002|1|NA|NA|17-01-2010 17:29|01-09-2011 18:22
191|1|13|258|NA|16-12-2000|31-03-2001|1|NA|NA|17-01-2010 17:29|01-09-2011 18:28
192|1|1|156|NA|31-08-1999|03-11-1999|1|NA|NA|17-01-2010 17:29|01-09-2011 19:12
193|1|13|186|NA|16-03-2001|15-06-2001|1|NA|NA|17-01-2010 17:29|01-09-2011 20:00
194|1|2|206|NA|27-07-1999|26-10-1999|1|NA|NA|17-01-2010 17:29|01-03-2011 21:56
195|1|2|205|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|10-12-2010 20:51
196|1|5|169|NA|03-11-1998|31-01-1999|1|NA|NA|17-01-2010 17:29|01-09-2011 19:43
197|1|3|223|NA|20-07-1999|31-03-2003|1|NA|NA|17-01-2010 17:29|01-09-2011 20:07
198|1|11|227|NA|23-01-2001|23-04-2001|1|NA|NA|17-01-2010 17:29|01-09-2011 20:26
199|1|14|176|NA|26-12-2000|28-02-2002|1|NA|NA|17-01-2010 17:29|01-09-2011 21:29
200|1|14|1682|NA|26-12-2000|28-02-2002|1|NA|NA|17-01-2010 17:29|01-09-2011 21:29
201|1|8|163|NA|28-10-1999|13-08-2001|1|NA|NA|17-01-2010 17:29|02-09-2011 16:00
202|1|10|608|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|17-03-2010 21:00
203|1|10|1147|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|17-03-2010 21:00
204|1|10|143|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|17-03-2010 21:00
205|1|5|255|NA|30-07-1999|30-11-1999|1|NA|NA|17-01-2010 17:29|02-09-2011 19:24
206|1|7|145|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|17-03-2010 21:00
207|1|7|612|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|17-03-2010 21:00
208|1|7|1145|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|17-03-2010 21:00
209|1|9|216|NA|17-03-2000|17-09-2000|1|NA|NA|17-01-2010 17:29|01-03-2011 21:39
210|1|5|141|NA|01-08-2000|31-10-2000|1|NA|NA|17-01-2010 17:29|02-09-2011 19:27
211|1|7|259|NA|01-01-1999|30-12-1999|1|NA|NA|17-01-2010 17:29|01-03-2011 21:59
212|1|5|616|NA|01-01-2000|30-06-2000|1|NA|NA|17-01-2010 17:29|02-09-2011 20:37
213|1|5|1009|NA|01-01-2000|30-06-2000|1|NA|NA|17-01-2010 17:29|02-09-2011 20:37
214|1|5|1686|NA|01-01-2000|30-06-2000|1|NA|NA|17-01-2010 17:29|02-09-2011 20:37
215|1|5|152|NA|01-01-2000|30-06-2000|1|NA|NA|17-01-2010 17:29|02-09-2011 20:37
216|1|5|2309|NA|01-01-2000|30-06-2000|1|NA|NA|17-01-2010 17:29|02-09-2011 20:37
217|1|5|2608|NA|01-01-2000|30-06-2000|1|NA|NA|17-01-2010 17:29|02-09-2011 20:37
218|1|13|240|NA|15-11-2001|15-02-2002|1|NA|NA|17-01-2010 17:29|02-09-2011 21:27
219|1|10|194|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|17-03-2010 21:00
220|1|10|644|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|17-03-2010 21:00
221|1|10|1243|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|17-03-2010 21:00
222|1|10|2084|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|17-03-2010 21:00
223|1|3|204|NA|15-12-1998|15-03-1999|1|NA|NA|17-01-2010 17:29|02-09-2011 21:02
224|1|9|615|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|17-03-2010 21:00
225|1|9|150|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|17-03-2010 21:00
