id,control_politico_id,persona_id,asistencia_id,tipo_citado,activo,usercreated,usermodifed,created_at,updated_at
325,5066,17251,NA,1,1,NA,NA,NA,NA
326,5065,14931,NA,0,1,NA,NA,NA,NA
327,5065,16530,NA,0,1,NA,NA,NA,NA
328,5065,16703,NA,0,1,NA,NA,NA,NA
329,5065,16916,NA,0,1,NA,NA,NA,NA
330,5065,16935,NA,0,1,NA,NA,NA,NA
331,5065,16984,NA,0,1,NA,NA,NA,NA
332,5065,17107,NA,0,1,NA,NA,NA,NA
333,5065,17234,NA,0,1,NA,NA,NA,NA
334,5063,16990,1,1,1,NA,NA,NA,NA
335,5063,16991,1,1,1,NA,NA,NA,NA
336,5063,16992,1,1,1,NA,NA,NA,NA
337,5063,16970,1,1,1,NA,NA,NA,NA
338,5062,16505,1,1,1,NA,NA,NA,NA
339,5062,16530,1,1,1,NA,NA,NA,NA
340,5062,16899,2,1,1,NA,NA,NA,NA
341,5062,16916,1,1,1,NA,NA,NA,NA
342,5062,16984,2,1,1,NA,NA,NA,NA
343,5062,16985,2,1,1,NA,NA,NA,NA
344,5062,15206,1,1,1,NA,NA,NA,NA
345,5059,16933,NA,1,1,NA,NA,NA,NA
346,5059,15130,NA,1,1,NA,NA,NA,NA
347,5059,17248,NA,1,1,NA,NA,NA,NA
348,5058,17095,NA,1,1,NA,NA,NA,NA
349,5058,17109,NA,1,1,NA,NA,NA,NA
350,5053,15664,NA,0,1,NA,NA,NA,NA
351,5053,16248,NA,0,1,NA,NA,NA,NA
352,5053,16413,NA,0,1,NA,NA,NA,NA
353,5053,16904,NA,0,1,NA,NA,NA,NA
354,5053,17033,NA,0,1,NA,NA,NA,NA
355,5053,17076,NA,0,1,NA,NA,NA,NA
356,5053,17116,NA,0,1,NA,NA,NA,NA
357,5052,17071,NA,1,1,NA,NA,NA,NA
358,5052,17119,NA,1,1,NA,NA,NA,NA
359,5052,15130,NA,1,1,NA,NA,NA,NA
360,5051,14659,NA,1,1,NA,NA,NA,NA
361,5051,16703,NA,0,1,NA,NA,NA,NA
362,5051,16898,NA,1,1,NA,NA,NA,NA
