id,proyecto_ley_estado_id,comision_id,activo,usercreated,usermodifed,created_at,updated_at
552,28136,3,1,NA,NA,NA,NA
553,28137,3,1,NA,NA,NA,NA
555,28003,1,1,NA,NA,NA,NA
556,27978,1,1,NA,NA,NA,NA
6873,37900,12,1,NA,NA,NA,NA
560,28188,12,1,NA,NA,NA,NA
567,28181,12,1,NA,NA,NA,NA
568,28194,12,1,NA,NA,NA,NA
570,27886,2,1,NA,NA,NA,NA
574,27865,7,1,NA,NA,NA,NA
575,27863,13,1,NA,NA,NA,NA
576,27864,13,1,NA,NA,NA,NA
577,27885,2,1,NA,NA,NA,NA
578,27888,2,1,NA,NA,NA,NA
582,28490,2,1,NA,NA,NA,NA
586,27975,6,1,NA,NA,NA,NA
587,27880,2,1,NA,NA,NA,NA
588,27872,11,1,NA,NA,NA,NA
589,27875,2,1,NA,NA,NA,NA
590,27878,2,1,NA,NA,NA,NA
591,27948,4,1,NA,NA,NA,NA
594,27891,12,1,NA,NA,NA,NA
596,27879,2,1,NA,NA,NA,NA
599,27881,2,1,NA,NA,NA,NA
602,27862,11,1,NA,NA,NA,NA
604,27890,2,1,NA,NA,NA,NA
13620,44654,2,1,NA,NA,NA,NA
13676,41442,3,1,NA,NA,NA,NA
13738,44727,1,1,NA,NA,NA,NA
13794,44782,7,1,NA,NA,NA,NA
13831,43550,11,1,NA,NA,NA,NA
6874,37906,1,1,NA,NA,NA,NA
13890,42467,11,1,NA,NA,NA,NA
13931,44105,8,1,NA,NA,NA,NA
621,27781,1,1,NA,NA,NA,NA
13982,43760,4,1,NA,NA,NA,NA
14083,45256,5,1,NA,NA,NA,NA
634,27744,11,1,NA,NA,NA,NA
644,27651,7,1,NA,NA,NA,NA
646,27659,4,1,NA,NA,NA,NA
6876,25914,1,1,NA,NA,NA,NA
650,27608,1,1,NA,NA,NA,NA
6305,36926,1,1,NA,NA,NA,NA
656,27812,12,1,NA,NA,NA,NA
666,27627,2,1,NA,NA,NA,NA
667,27601,10,1,NA,NA,NA,NA
668,27593,11,1,NA,NA,NA,NA
670,27688,7,1,NA,NA,NA,NA
671,27592,11,1,NA,NA,NA,NA
673,27598,7,1,NA,NA,NA,NA
674,28201,10,1,NA,NA,NA,NA
675,29330,11,1,NA,NA,NA,NA
678,27636,12,1,NA,NA,NA,NA
679,27583,8,1,NA,NA,NA,NA
682,27602,12,1,NA,NA,NA,NA
686,27586,8,1,NA,NA,NA,NA
689,27588,8,1,NA,NA,NA,NA
690,27564,11,1,NA,NA,NA,NA
692,27563,11,1,NA,NA,NA,NA
693,28515,9,1,NA,NA,NA,NA
