id|votacion_id|proyecto_ley_estado_id|activo|usercreated|usermodifed|created_at|updated_at
16486|2832|25712|1|NA|NA|NA|NA
16487|2259|27183|1|NA|NA|NA|NA
1651|6279|27744|1|NA|NA|NA|NA
1652|2755|27520|1|NA|NA|NA|NA
1661|6280|27744|1|NA|NA|NA|NA
16488|2716|27441|1|NA|NA|NA|NA
16489|1879|27285|1|NA|NA|NA|NA
16490|2294|27183|1|NA|NA|NA|NA
16491|2323|27285|1|NA|NA|NA|NA
16492|2833|25712|1|NA|NA|NA|NA
16493|2712|27441|1|NA|NA|NA|NA
1672|6458|29838|1|NA|NA|NA|NA
1679|2494|28034|1|NA|NA|NA|NA
1681|1707|25218|1|NA|NA|NA|NA
1682|1707|25164|1|NA|NA|NA|NA
1690|2387|28640|1|NA|NA|NA|NA
1691|2394|28155|1|NA|NA|NA|NA
1692|6282|27644|1|NA|NA|NA|NA
1696|6459|29838|1|NA|NA|NA|NA
1698|2659|25679|1|NA|NA|NA|NA
1700|1702|25218|1|NA|NA|NA|NA
1701|1702|25164|1|NA|NA|NA|NA
1703|6460|30641|1|NA|NA|NA|NA
1708|2664|25679|1|NA|NA|NA|NA
1710|2665|27520|1|NA|NA|NA|NA
1718|1453|9698|1|NA|NA|NA|NA
59515|9881|45258|1|NA|NA|NA|NA
114632|11449|48502|1|NA|NA|NA|NA
66153|2463|27341|1|NA|NA|NA|NA
1737|2559|27601|1|NA|NA|NA|NA
1744|6461|30641|1|NA|NA|NA|NA
1746|6462|30641|1|NA|NA|NA|NA
66154|2462|27341|1|NA|NA|NA|NA
1748|2355|25056|1|NA|NA|NA|NA
1751|2371|27312|1|NA|NA|NA|NA
16504|4807|29803|1|NA|NA|NA|NA
1755|1437|28222|1|NA|NA|NA|NA
1760|2548|28155|1|NA|NA|NA|NA
1762|2534|27530|1|NA|NA|NA|NA
1763|2533|27530|1|NA|NA|NA|NA
1764|2532|27530|1|NA|NA|NA|NA
1765|2531|27530|1|NA|NA|NA|NA
1766|2549|28155|1|NA|NA|NA|NA
1767|2539|28152|1|NA|NA|NA|NA
16505|4832|29803|1|NA|NA|NA|NA
1770|6463|30641|1|NA|NA|NA|NA
16506|5689|36349|1|NA|NA|NA|NA
16507|4806|29803|1|NA|NA|NA|NA
16508|4808|29803|1|NA|NA|NA|NA
16509|4809|29803|1|NA|NA|NA|NA
1786|5217|37271|1|NA|NA|NA|NA
1787|5218|37271|1|NA|NA|NA|NA
16510|4810|29803|1|NA|NA|NA|NA
16511|4831|29803|1|NA|NA|NA|NA
1801|3236|29050|1|NA|NA|NA|NA
16512|4850|29803|1|NA|NA|NA|NA
16513|5690|36349|1|NA|NA|NA|NA
1805|3522|29846|1|NA|NA|NA|NA
1807|6465|30641|1|NA|NA|NA|NA
1810|5316|27888|1|NA|NA|NA|NA
1811|6466|30641|1|NA|NA|NA|NA
1813|3528|29846|1|NA|NA|NA|NA
1817|3523|29846|1|NA|NA|NA|NA
1819|3529|29846|1|NA|NA|NA|NA
14318|4070|30914|1|NA|NA|NA|NA
1821|3530|29915|1|NA|NA|NA|NA
64861|10628|46496|1|NA|NA|NA|NA
14319|4072|30914|1|NA|NA|NA|NA
1828|6468|30641|1|NA|NA|NA|NA
1831|5319|28490|1|NA|NA|NA|NA
1832|3547|29915|1|NA|NA|NA|NA
114633|11454|48502|1|NA|NA|NA|NA
1844|6469|30641|1|NA|NA|NA|NA
64862|10629|46496|1|NA|NA|NA|NA
1849|6470|30641|1|NA|NA|NA|NA
1854|3599|30049|1|NA|NA|NA|NA
1855|3599|30055|1|NA|NA|NA|NA
1856|3606|30049|1|NA|NA|NA|NA
1857|3606|30055|1|NA|NA|NA|NA
1858|3607|30049|1|NA|NA|NA|NA
1859|3607|30055|1|NA|NA|NA|NA
1860|3608|30049|1|NA|NA|NA|NA
1861|3608|30055|1|NA|NA|NA|NA
1862|3609|30049|1|NA|NA|NA|NA
1863|3609|30055|1|NA|NA|NA|NA
1864|3610|30049|1|NA|NA|NA|NA
1865|3610|30055|1|NA|NA|NA|NA
1866|3611|30049|1|NA|NA|NA|NA
1867|3611|30055|1|NA|NA|NA|NA
1868|3612|30049|1|NA|NA|NA|NA
1869|3612|30055|1|NA|NA|NA|NA
1870|3613|30049|1|NA|NA|NA|NA
1871|3613|30055|1|NA|NA|NA|NA
1872|3614|30049|1|NA|NA|NA|NA
1873|3614|30055|1|NA|NA|NA|NA
1874|3615|30049|1|NA|NA|NA|NA
1875|3615|30055|1|NA|NA|NA|NA
1876|3616|30049|1|NA|NA|NA|NA
1877|3616|30055|1|NA|NA|NA|NA
1878|3617|30049|1|NA|NA|NA|NA
1879|3617|30055|1|NA|NA|NA|NA
1880|3618|30049|1|NA|NA|NA|NA
1881|3618|30055|1|NA|NA|NA|NA
64863|10627|46496|1|NA|NA|NA|NA
