id,fecha,fecha_realizada,comentarios,cuatrienio_id,realizado,activo,usercreated,usermodifed,created_at,updated_at
9617,06/06/2017 15:00,NA,NA,7,NA,1,NA,NA,NA,NA
9572,25/05/2017 19:00,NA,Se realizó en Kennedy,7,NA,1,NA,NA,NA,NA
9588,30/05/2017 15:00,30/05/2017,NA,7,NA,1,NA,NA,NA,NA
9580,23/05/2017 15:00,23/05/2017,NA,7,NA,1,NA,NA,NA,NA
9524,10/05/2017 14:00,10/05/2017,NA,7,NA,1,NA,NA,NA,NA
9622,07/06/2017 13:30,NA,NA,7,NA,1,NA,NA,NA,NA
9577,23/05/2017 15:00,23/05/2017,NA,7,NA,1,NA,NA,NA,NA
9578,24/05/2017 15:00,24/05/2017,NA,7,NA,1,NA,NA,NA,NA
9512,09/05/2017 15:00,09/05/2017,NA,7,NA,1,NA,NA,NA,NA
9509,09/05/2017 15:00,09/05/2017,NA,7,NA,1,NA,NA,NA,NA
9627,07/06/2017 15:00,NA,NA,7,NA,1,NA,NA,NA,NA
9495,03/05/2017 14:00,03/05/2017,NA,7,NA,1,NA,NA,NA,NA
9505,09/05/2017 15:00,09/05/2017,NA,7,NA,1,NA,NA,NA,NA
9630,06/06/2017 19:00,NA,NA,7,NA,1,NA,NA,NA,NA
9623,07/06/2017 14:00,07/06/2017,Citaron a plenaria en la mañana. el debate se aplazó,7,NA,1,NA,NA,NA,NA
9583,24/05/2017 15:30,24/05/2017,NA,7,NA,1,NA,NA,NA,NA
9587,30/05/2017 15:00,30/05/2017,NA,7,NA,1,NA,NA,NA,NA
9523,12/05/2017 14:30,12/05/2017,NA,7,NA,1,NA,NA,NA,NA
9532,17/05/2017 14:00,17/05/2017,NA,7,NA,1,NA,NA,NA,NA
9531,11/05/2017 14:00,11/05/2017,NA,7,NA,1,NA,NA,NA,NA
9576,23/05/2017 20:00,23/05/2017,NA,7,NA,1,NA,NA,NA,NA
9533,16/05/2017 15:00,16/05/2017,NA,7,NA,1,NA,NA,NA,NA
9551,17/05/2017 15:00,17/05/2017,NA,7,NA,1,NA,NA,NA,NA
9632,05/06/2017 14:00,NA,NA,7,NA,1,NA,NA,NA,NA
9513,09/05/2017 15:00,09/05/2017,Procedimiento legislativo especial para la paz,7,NA,1,NA,NA,NA,NA
9688,22/03/2017 15:00,22/03/2017,NA,7,NA,1,NA,NA,NA,NA
9653,13/06/2017 15:00,13/06/2017,NA,7,NA,1,NA,NA,NA,NA
9625,06/06/2017 15:00,NA,NA,7,NA,1,NA,NA,NA,NA
9702,07/03/2017 20:00,07/03/2017,Sesión extraordinaria. Procedimiento legislativo especial para la paz,7,NA,1,NA,NA,NA,NA
9694,29/03/2017 16:30,29/03/2017,NA,7,NA,1,NA,NA,NA,NA
9671,15/06/2017 13:00,NA,NA,7,NA,1,NA,NA,NA,NA
9652,13/06/2017 19:00,13/06/2017,NA,7,NA,1,NA,NA,NA,NA
9654,13/06/2017 15:00,13/06/2017,NA,7,NA,1,NA,NA,NA,NA
9668,14/06/2017 14:00,14/06/2017,NA,7,NA,1,NA,NA,NA,NA
9640,07/06/2017 17:15,07/06/2017,NA,7,NA,1,NA,NA,NA,NA
9644,13/06/2017 14:30,13/06/2017,NA,7,NA,1,NA,NA,NA,NA
9674,16/06/2017 14:00,16/06/2017,NA,7,NA,1,NA,NA,NA,NA
9682,02/11/2016 14:30,02/11/2016,NA,7,NA,1,NA,NA,NA,NA
9689,21/03/2017 15:00,21/03/2017,NA,7,NA,1,NA,NA,NA,NA
9683,03/05/2017 15:00,03/05/2017,NA,7,NA,1,NA,NA,NA,NA
9507,02/05/2017 15:00,02/05/2017,Se aprobó el retiro del PL 160/16 Senado,7,NA,1,NA,NA,NA,NA
9690,21/03/2017 15:00,21/03/2017,NA,7,NA,1,NA,NA,NA,NA
9518,09/05/2017 15:00,09/05/2017,Información obtenida de la agenda general de Senado. Se completó,7,NA,1,NA,NA,NA,NA
9637,07/06/2017 15:00,NA,Citaron plenaria por la mañana,7,NA,1,NA,NA,NA,NA
9639,07/06/2017 14:00,NA,Se citó Plenaria por la mañana,7,NA,1,NA,NA,NA,NA
9629,07/06/2017 19:00,NA,Este orden del día se canceló,7,NA,1,NA,NA,NA,NA
9684,24/05/2017 15:00,24/05/2017,NA,7,NA,1,NA,NA,NA,NA
9635,07/06/2017 15:00,07/06/2017,NA,7,NA,1,NA,NA,NA,NA
9685,31/05/2017 15:00,31/05/2017,NA,7,NA,1,NA,NA,NA,NA
9636,07/06/2017 20:00,07/06/2017,NA,7,NA,1,NA,NA,NA,NA
9434,18/04/2017 20:00,18/04/2017,NA,7,NA,1,NA,NA,NA,NA
9645,14/06/2017 14:30,NA,NA,7,NA,1,NA,NA,NA,NA
9631,07/06/2017 20:00,07/06/2017,NA,7,NA,1,NA,NA,NA,NA
9691,25/04/2017 15:00,25/04/2017,NA,7,NA,1,NA,NA,NA,NA
9648,13/06/2017 14:30,13/06/2017,NA,7,NA,1,NA,NA,NA,NA
9633,07/06/2017 14:00,07/06/2017,NA,7,NA,1,NA,NA,NA,NA
9665,14/06/2017 14:00,14/06/2017,NA,7,NA,1,NA,NA,NA,NA
9104,26/10/2016 15:30,26/10/2016,"Por instrucciones de la Mesa Directiva y en razón a que el citante, H.R. Rafael Palau Salazar solicita cambiar la fecha por encontrarse el Dr. Norman Julio Muñoz convocado en la Comisión VII del H. Senado con anterioridad, la Sesión de Comisión VII se aplaza para el próximo miércoles 02 de noviembre de 2016 a las 09:30 horas. Se cambió el orden del día",7,NA,1,NA,NA,NA,NA
9490,02/05/2017 15:00,02/05/2017,NA,7,NA,1,NA,NA,NA,NA
9676,21/03/2017 16:00,21/03/2017,NA,7,NA,1,NA,NA,NA,NA
9669,14/06/2017 14:00,14/06/2017,NA,7,NA,1,NA,NA,NA,NA
9641,13/06/2017 15:00,13/06/2017,NA,7,NA,1,NA,NA,NA,NA
9646,13/06/2017 14:00,13/06/2017,NA,7,NA,1,NA,NA,NA,NA
9655,14/06/2017 13:00,14/06/2017,NA,7,NA,1,NA,NA,NA,NA
9656,12/06/2017 13:00,NA,NA,7,NA,1,NA,NA,NA,NA
9657,13/06/2017 15:00,NA,NA,7,NA,1,NA,NA,NA,NA
9658,13/06/2017 16:00,NA,NA,7,NA,1,NA,NA,NA,NA
9660,14/06/2017 12:00,NA,NA,7,NA,1,NA,NA,NA,NA
9649,13/06/2017 20:00,13/06/2017,NA,7,NA,1,NA,NA,NA,NA
9634,07/06/2017 15:00,07/06/2017,Duplicado,7,NA,1,NA,NA,NA,NA
9697,29/03/2017 16:30,NA,Se canceló por citación a Plenaria,7,NA,1,NA,NA,NA,NA
9675,13/06/2017 16:00,13/06/2017,NA,7,NA,1,NA,NA,NA,NA
9659,13/06/2017 15:00,13/06/2017,NA,7,NA,1,NA,NA,NA,NA
9678,21/06/2017 14:00,NA,NA,7,NA,1,NA,NA,NA,NA
9698,07/06/2017 14:00,07/06/2017,NA,7,NA,1,NA,NA,NA,NA
9687,04/10/2016 15:00,04/10/2016,NA,7,NA,1,NA,NA,NA,NA
9297,28/12/2016 14:00,28/12/2016,Sesión extraordinaria. Procedimiento legislativo especial para la paz,7,NA,1,NA,NA,NA,NA
9695,19/04/2017 15:00,19/04/2017,NA,7,NA,1,NA,NA,NA,NA
9448,19/04/2017 15:00,19/04/2017,NA,7,NA,1,NA,NA,NA,NA
9643,22/03/2017 15:00,22/03/2017,NA,7,NA,1,NA,NA,NA,NA
9545,16/05/2017 15:00,16/05/2017,Duplicado,7,NA,1,NA,NA,NA,NA
